ID,Stadium,Capacity,City,State,Year.opened,Type,Tenant,Link,Cost1,Cost1_Inflation,2018CPI,Height Correct,Hist Bin,,,
WisconsinEntertainmentandSportsCenter,Wisconsin Entertainment and Sports Center,17500,Milwaukee,Wisconsin,2018,Basketball,Milwaukee Bucks,https://en.wikipedia.org/wiki/Wisconsin_Entertainment_and_Sports_Center,524,524.0,249.24,0,5,,,123.6
LittleCaesarsArena,Little Caesars Arena,20491,Detroit,Michigan,2017,Basketball,Detroit Pistons,https://en.wikipedia.org/wiki/Little_Caesars_Arena,862.9,877.4,245.12,0,8,,,1085.6
Golden1Center,Golden 1 Center,17608,Sacramento,California,2016,Basketball,Sacramento Kings,https://en.wikipedia.org/wiki/Golden_1_Center,558.2,579.7,240.007,0,5,,,962.0
BarclaysCenter,Barclays Center,17732,Brooklyn,New York,2012,Basketball,Brooklyn Nets,https://en.wikipedia.org/wiki/Barclays_Center,1000,1085.6,229.594,0,10,,,
AmwayCenter,Amway Center,18846,Orlando,Florida,2010,Basketball,Orlando Magic,https://en.wikipedia.org/wiki/Amway_Center,480,548.6,218.056,0,5,,,
SpectrumCenter,Spectrum Center,19077,Charlotte,North Carolina,2005,Basketball,Charlotte Hornets,https://en.wikipedia.org/wiki/Spectrum_Center_(arena),260,331.8,195.3,0,3,,,
FedExForum,FedExForum,18119,Memphis,Tennessee,2004,Basketball,Memphis Grizzlies,https://en.wikipedia.org/wiki/FedExForum,250,329.9,188.9,0,3,,,
ToyotaCenter,Toyota Center,18055,Houston,Texas,2003,Basketball,Houston Rockets,https://en.wikipedia.org/wiki/Toyota_Center,235,318.3,184,0,3,,,
ATTCenter,AT&T Center,18418,San Antonio,Texas,2002,Basketball,San Antonio Spurs,https://en.wikipedia.org/wiki/AT%26T_Center,186,257.7,179.9,0,2,,,
ChesapeakeEnergyArena,Chesapeake Energy Arena,18203,Oklahoma City,Oklahoma,2002,Basketball,Oklahoma City Thunder,https://en.wikipedia.org/wiki/Chesapeake_Energy_Arena,89.2,123.6,179.9,1,1,,,
AmericanAirlinesCenter,American Airlines Center,19200,Dallas,Texas,2001,Basketball,Dallas Mavericks,https://en.wikipedia.org/wiki/American_Airlines_Center,420,591.1,177.1,0,5,,,
AirCanadaCentre,Air Canada Centre,19800,Toronto,Ontario,1999,Basketball,Toronto Raptors,https://en.wikipedia.org/wiki/Air_Canada_Centre,265,289.3,166.6,0,2,,,
